type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,465.0,480.6,187.4,248.5,285.3,418.0,467.8,498.2,520.7,546.9,581.3,631.7,1718.3,8048.4,15515.3,5010.8,5000
read,560.1,630.4,173.5,244.4,275.2,503.9,610.2,666.2,705.9,748.8,802.0,882.7,1519.5,7554.6,30813.9,9939.0,10000
read,621.3,612.9,173.5,245.9,282.3,571.6,687.5,754.1,802.0,857.1,923.0,1028.0,1276.2,9534.1,26857.3,14972.1,15000
read,670.5,645.6,173.5,243.4,276.6,612.9,745.8,821.5,877.4,943.3,1037.0,1169.3,1707.3,8775.9,30430.3,19906.0,20000
read,713.7,818.2,173.5,242.5,276.8,641.3,795.2,873.7,934.1,1013.5,1115.5,1274.3,1797.3,11365.5,35813.3,25109.6,25000
read,707.1,585.8,173.5,242.4,275.3,627.4,803.6,897.5,966.2,1051.8,1160.5,1345.4,1856.8,7991.4,19602.6,29882.9,30000
read,758.3,617.7,173.5,258.3,304.3,690.8,870.0,962.3,1027.1,1099.5,1196.8,1365.4,2049.7,7684.3,23592.5,35063.2,35000
read,1328.2,1138.5,173.5,432.1,570.5,1292.5,1421.3,1477.4,1530.6,1607.2,1929.2,2645.9,3153.6,17238.8,34106.4,39758.2,40000
read,1767.2,1387.8,187.4,1256.1,1312.6,1500.0,1581.0,1624.8,1709.2,2295.6,2791.9,2979.5,3570.7,25136.0,36797.3,38969.8,45000
read,1867.4,1340.3,202.4,1393.4,1429.8,1607.3,1692.5,1734.7,1804.6,1989.2,2967.3,3178.9,3642.0,25986.7,34886.3,36949.6,50000
read,1621.5,1202.1,187.4,1161.1,1208.2,1368.0,1446.9,1489.8,1583.9,2336.6,2581.2,2740.1,3245.7,20269.7,33545.8,42221.2,55000
