avg,std,min,ts_start,ts_end,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
463.1,559.4,187.4,1713454189875,1713454195345,5019.2,5000,271.6,312.5,421.4,457.9,478.6,495.9,515.5,544.1,614.0,1194.3,10242.6,21299.9
484.8,388.0,173.5,1713454196851,1713454202240,10002.6,10000,250.7,274.8,465.2,526.9,557.3,580.0,607.2,642.6,718.6,1165.4,4125.2,15787.8
479.3,372.1,173.5,1713454203746,1713454209091,15020.4,15000,241.6,261.9,456.9,540.9,580.0,606.7,636.3,676.5,740.0,1001.0,5124.7,15663.5
523.8,373.7,173.5,1713454210597,1713454215934,19951.6,20000,246.4,268.5,471.8,577.3,629.4,666.8,711.3,776.7,930.3,1562.1,4278.1,11982.2
496.6,364.4,173.5,1713454217439,1713454222755,24978.2,25000,243.1,265.6,451.0,558.9,615.8,654.0,696.1,748.7,837.3,1139.8,2849.0,16663.5
564.8,396.1,173.5,1713454224260,1713454229598,29867.7,30000,246.9,272.1,484.2,606.9,676.0,728.6,796.6,897.1,1095.8,1922.2,4125.7,10535.4
520.9,313.2,173.5,1713454231103,1713454236425,34992.0,35000,241.0,263.8,461.8,571.2,636.2,685.7,743.4,821.8,954.7,1508.1,2887.1,10754.6
576.6,485.6,173.5,1713454237931,1713454243245,39970.4,40000,248.1,273.5,481.4,599.4,672.9,729.9,802.3,909.8,1118.9,2146.1,7321.4,11045.2
515.9,312.2,173.5,1713454244750,1713454250056,44867.0,45000,244.2,268.3,464.9,567.4,628.5,676.2,734.2,813.0,940.4,1292.1,2564.9,10088.4
566.8,378.2,173.5,1713454251561,1713454256877,50021.6,50000,249.9,276.9,489.8,605.2,675.9,732.6,804.8,908.8,1096.2,1835.8,4244.2,10837.6
517.3,303.1,173.5,1713454258382,1713454263701,54987.2,55000,247.4,273.1,469.4,570.5,630.0,676.3,733.5,810.8,935.2,1255.4,2301.1,10972.0
547.3,344.8,173.5,1713454265205,1713454270515,59836.0,60000,252.1,280.3,485.5,589.9,655.1,705.9,770.8,859.2,1013.2,1555.2,3392.9,10472.4
530.2,275.1,173.5,1713454272021,1713454277338,65043.8,65000,259.0,289.9,490.6,586.4,641.6,685.5,738.7,807.7,919.5,1181.8,2029.3,10283.1
550.6,296.6,173.5,1713454278844,1713454284146,70153.0,70000,261.1,293.4,497.7,598.5,661.4,709.7,769.7,852.3,991.9,1413.1,2893.1,8100.9
709.4,421.9,173.5,1713454285650,1713454290951,75050.4,75000,326.5,382.0,636.3,795.0,890.0,952.2,1018.5,1097.4,1217.3,1547.3,3438.7,16730.4
886.9,429.6,173.5,1713454292457,1713454297766,73526.6,80000,501.2,553.2,761.7,1018.2,1147.1,1213.8,1275.9,1346.3,1443.5,1649.6,3546.1,15774.0
909.0,443.9,187.4,1713454299272,1713454304585,72093.8,85000,485.8,550.3,779.4,1038.8,1170.4,1239.9,1307.9,1377.6,1485.5,1894.2,4510.9,15226.8
907.2,473.6,173.5,1713454306091,1713454311407,72352.7,90000,489.1,552.9,775.4,1037.6,1170.2,1239.1,1306.1,1374.6,1478.6,1841.0,4039.3,16795.1
864.7,456.2,173.5,1713454312912,1713454318217,75945.8,95000,496.0,540.6,732.6,1010.7,1127.2,1186.7,1244.7,1309.3,1389.2,1586.6,3681.1,17775.4
957.4,541.8,187.4,1713454319723,1713454325032,68896.5,100000,521.5,588.2,817.2,1071.8,1228.5,1306.7,1376.1,1454.3,1563.6,1848.4,7675.8,18935.6
845.4,445.2,187.4,1713454326538,1713454331839,77730.9,105000,468.6,514.5,725.5,989.6,1088.2,1143.6,1200.3,1265.4,1362.0,1659.2,4216.5,16037.3
869.9,433.1,187.4,1713454333344,1713454338652,75653.7,110000,509.9,550.6,731.9,1019.9,1140.3,1199.9,1254.1,1317.3,1396.6,1594.5,3833.0,15844.7
893.4,430.4,187.4,1713454340156,1713454345466,73542.8,115000,529.8,572.4,745.2,1025.1,1179.8,1243.1,1303.8,1363.8,1451.6,1608.3,3777.5,15880.0
891.1,464.5,187.4,1713454346971,1713454352278,74092.7,120000,537.4,576.3,736.7,1011.6,1188.8,1246.6,1304.7,1363.3,1448.7,1601.6,5101.2,16080.5
850.9,463.2,173.5,1713454353782,1713454359096,77555.4,125000,504.7,540.7,702.9,995.5,1121.0,1177.0,1231.7,1287.7,1371.9,1548.9,5436.2,16227.6
